,M_V,L_V,D,rhalf_arcmin,rhalf_sph_physical,M_dynamical_wolf,sigma_vrad,sigma_vrad_err,frac_M_err,M_err,n_stars
Antlia II,-9.73,666806.7692136233,124.17,104.6,2379.32,79432823.47242822,5.98,0.1282020948083372,0.04287695478539705,3405837.58050373,1978.0
Aquarius II,-4.36,4742.419852602453,107.65,5.1,123.69,2454708.915685029,4.7,1.0664272436553108,0.4537988270873663,1113944.026778767,18.0
Aquarius III,-2.5,855.0667128846841,85.51,2.1,36.28,,,,,,6.0
Bootes I,-6.02,21877.616239495517,66.37,9.97,160.86,2398832.91901949,4.0,0.30456610762787045,0.15228305381393523,365301.6024976843,198.0
Bootes II,-2.94,1282.3305826560218,41.69,3.17,33.0,251188.6431509582,2.9,0.7080425840072914,0.4883052303498561,122656.72825509646,32.0
Bootes III,-5.74,16904.409316432666,46.56,40.6,447.9,46773514.128719814,10.7,0.5162576440710125,0.09649675590112383,4513492.375516843,323.0
Canes Venatici I,-8.73,265460.55619755416,210.86,7.12,326.44,17378008.28749376,7.6,0.34007254944041587,0.08949277616853049,1555206.205927547,455.0
Canes Venatici II,-5.17,10000.0,159.96,1.52,54.04,1047128.5480508985,4.6,0.8927614006750829,0.38815713072829694,406450.4127151244,32.0
Carina,-9.43,505824.66200311476,105.58,10.1,248.12,10000000.0,6.6,0.113583054459476,0.03441910741196243,344191.0741196243,2679.0
Carina II,-4.57,5754.399373371572,37.39,8.69,76.52,812830.5161640996,3.4,0.345346213900726,0.20314483170630943,165122.31841190864,194.0
Carina III,-2.4,779.8301105232593,27.8,3.75,19.51,524807.4602497723,5.6,0.9291511826906828,0.3318397081038153,174151.95441998908,46.0
Centaurus I,-5.35,11803.206356517298,117.71,2.6,70.97,1148153.6214968818,4.2,0.5961841264542393,0.2838972030734473,325957.6018416142,54.0
Columba I,-4.2,4092.6065973001137,182.81,2.2,97.34,,,,,,12.0
Coma Berenices,-4.29,4446.312674691093,42.27,5.64,54.94,1071519.305237607,4.6,0.5179279839692847,0.22518607998664555,241291.23197647068,105.0
Crater II,-8.18,159955.80286146712,116.57,31.2,1054.21,5370317.963702532,2.34,0.11941210291936401,0.10206162642680686,548103.385804578,795.0
Draco,-8.87,301995.1720402019,81.55,9.67,193.22,14791083.881682072,9.1,0.15804043117464595,0.034734160697724385,513755.88443986606,2180.0
Eridanus II,-7.12,60255.95860743581,369.83,2.31,178.95,7943282.347242822,6.9,1.158228093269297,0.33571828790414404,2666705.1499555707,33.0
Eridanus IV,-3.55,2249.0546058357804,69.82,3.24,56.18,1905460.7179632483,6.1,1.1537518204828512,0.3782792854042135,720796.3187569372,22.0
Fornax,-13.39,19408858.775927793,142.56,19.9,695.33,95499258.60214369,12.1,0.2832369608791094,0.04681602659158833,4470895.83019493,913.0
Grus I,-4.13,3837.072454922792,126.47,4.16,113.42,645654.2290346549,2.5,0.7411363824358894,0.5929091059487115,382814.27168894187,18.0
Grus II,-3.5,2147.8304741305355,55.21,5.9,94.36,,,,,,24.0
Hercules,-5.81,18030.1774085957,130.62,5.63,118.55,2884031.503126606,5.1,0.6949451350881591,0.27252750395614084,785977.9068779709,54.0
Horologium I,-3.38,1923.0917289101615,79.43,1.61,31.67,707945.7843841374,4.9,1.7400188173226663,0.7102117621725168,502791.42305006285,7.0
Hydra II,-5.1,9375.620069258803,151.36,1.52,56.73,,,,,,30.0
Hydrus I,-4.71,6546.361740672747,27.54,7.42,52.42,354813.3892335753,2.7,0.21005361644652917,0.15559527144187346,55207.285609009254,466.0
Leo I,-11.82,4570881.8961487515,258.23,3.65,229.1,17782794.100389227,9.2,0.10626648799948084,0.02310141043466975,410807.6251883154,5465.0
Leo II,-9.48,529663.4438916581,208.93,2.52,147.66,7585775.7502918355,7.4,0.22447576455561202,0.060669125555570816,460222.3814308598,981.0
Leo IV,-4.95,8165.823713585939,151.36,2.54,101.11,1071519.305237607,3.4,0.9028132158797415,0.5310665975763186,569048.1116698767,28.0
Leo V,-4.4,4920.395356814511,169.04,1.0,35.23,,,,,,14.0
Leo VI,-3.56,2269.8648518838236,111.17,4.17,86.86,575439.9373371566,2.85,1.0967174712581036,0.7696262956197218,442873.7073244407,11.0
Pegasus III,-4.17,3981.0717055349733,214.78,1.67,82.12,2187761.623949552,5.4,2.1065621046079603,0.7802081868918371,1706909.5299732212,7.0
Pegasus IV,-4.25,4285.485203974396,89.95,1.6,41.63,416869.3834703355,3.3,0.7295627146245095,0.44215922098455124,184322.64184755372,26.0
Phoenix II,-2.6,937.5620069258802,83.18,1.5,26.87,,,,,,4.0
Pictor II,-2.65,981.7479430199854,44.87,2.8,31.86,354813.3892335753,3.5,0.9697195610281587,0.5541254634446621,196611.1337454262,21.0
Pisces II,-4.28,4405.548635065535,182.81,1.34,56.31,1513561.2484362072,5.4,1.8442824169130054,0.6830675618196316,1033864.5916339977,11.0
Reticulum II,-3.1,1485.9356422870076,31.62,6.3,36.46,426579.5188015926,3.6,0.6137870953781551,0.34099283076564174,145460.55766280036,66.0
Reticulum III,-3.3,1786.4875748520499,91.62,2.4,62.18,,,,,,7.0
Sagittarius,-13.5,21478304.741305333,26.3,342.0,1565.8,190546071.79632443,11.4,0.08004974228889962,0.014043814436649055,2675993.6739399885,10219.0
Sculptor,-10.77,1737800.8287493763,83.95,11.17,223.23,17378008.28749376,9.2,0.38613588153639644,0.08394258294269488,1458754.902051784,284.0
Segue 1,-1.3,283.1391995799379,22.91,3.62,19.52,245470.89156850285,3.7,0.9930420823013022,0.5367795039466499,131763.74340948282,31.0
Segue 2,-1.95,515.2286445817567,36.48,3.76,35.02,,,,,,12.0
Sextans,-8.72,263026.7991895387,85.9,22.8,485.89,28183829.31264455,7.9,0.15759366061440666,0.03989712926947004,1124453.8813952585,1771.0
Triangulum II,-1.3,283.1391995799379,28.44,2.5,17.17,,,,,,16.0
Tucana II,-3.75,2703.958364108846,56.23,12.89,161.67,2089296.1308540408,3.8,0.7875881516477687,0.41452007981461514,866055.1989179836,30.0
Tucana IV,-3.0,1355.1894123510365,46.99,9.3,98.11,1659586.9074375597,4.3,1.1241069386501292,0.5228404365814555,867699.1432295213,25.0
Tucana V,-1.1,235.5049283896009,54.95,2.1,22.8,28840.31503126606,1.2,16.05781931443847,26.763032190730783,771854.2795725904,3.0
Ursa Major I,-5.14,9727.472237769642,97.27,8.31,150.14,6760829.753919818,7.0,0.842251921783134,0.24064340622375258,1626949.10088216,52.0
Ursa Major II,-4.42,5011.872336272725,34.67,13.8,92.06,3801893.9632056127,6.7,0.5045472095306317,0.15061110732257663,572607.4597214167,194.0
Ursa Minor,-8.86,299226.4636608189,70.15,18.3,250.41,17378008.28749376,8.6,0.14035873174687713,0.032641565522529566,567245.3961672895,2596.0
Willman 1,-2.53,879.0225168308842,38.02,2.51,19.98,288403.15031266055,4.0,1.0068915465081867,0.5034457732540933,145195.3470180739,27.0
Andromeda I,-11.35,2964831.3895243453,776.25,3.9,746.65,72443596.00749905,10.2,0.46474048802583223,0.09112558588741809,6601465.129974773,422.0
Andromeda II,-11.72,4168693.8347033635,666.81,5.3,941.57,53703179.63702533,7.8,0.27687327959311725,0.07099314861361981,3812557.8129952606,822.0
Andromeda III,-9.49,534564.3593969725,721.11,2.0,267.68,21379620.895022325,9.3,0.9347344733994,0.2010181663224516,4297692.188986559,93.0
Andromeda V,-9.3,448745.3899331332,758.58,1.6,302.5,30902954.32513592,10.5,1.2414939127718352,0.2364750310041591,7307777.082156629,59.0
Andromeda IX,-8.63,242102.904673618,701.46,2.0,393.4,43651583.22401656,10.9,1.5366422663403323,0.2819527094202445,12307682.16049476,41.0
